	Stage-II Extrapolation: September 2014																																																			
Variable	"Type of Target"	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	"District of Columbia"	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	"New Hampshire"	"New Jersey"	"New Mexico"	"New York"	"North Carolina"	"North Dakota"	Ohio	Oklahoma	Oregon	Pennsylvania	"Rhode Island"	"South Carolina"	"South Dakota"	Tennessee	Texas	Utah	Vermont	Virginia	Washington	"West Virginia"	Wisconsin	Wyoming
"State FIPS Code"	"-"	"	1"	"	2"	"	4"	"	5"	"	6"	"	8"	"	9"	"	10"	"	11"	"	12"	"	13"	"	15"	"	16"	"	17"	"	18"	"	19"	"	20"	"	21"	"	22"	"	23"	"	24"	"	25"	"	26"	"	27"	"	28"	"	29"	"	30"	"	31"	"	32"	"	33"	"	34"	"	35"	"	36"	"	37"	"	38"	"	39"	"	40"	"	41"	"	42"	"	44"	"	45"	"	46"	"	47"	"	48"	"	49"	"	50"	"	51"	"	53"	"	54"	"	55"	"	56"
"Number of Observations"	"-"	4255	5268	5120	3603	41241	9492	10973	6122	7947	16174	8159	8004	4136	12581	5327	7492	5577	5194	3666	7213	10899	7013	9248	9382	3446	6598	3594	6573	6410	8496	9285	3969	18150	7684	5557	9790	4899	5748	11946	6791	4675	6649	4849	22018	4430	5527	8964	7067	3581	7426	5255
"Number of Tax Units"	RA	2368.3	362.3	3245.7	1497.0	18591.4	2549.4	1842.5	462.2	382.5	9817.0	4810.0	680.2	731.4	6581.3	3156.4	1600.5	1440.6	2259.2	2172.6	733.1	3023.3	3562.6	5040.6	2794.3	1421.4	3136.6	527.6	939.1	1364.6	699.3	4455.0	994.7	10194.0	4757.8	351.3	6018.3	1845.3	2018.3	6734.9	577.2	2300.6	428.6	3240.5	12080.8	1245.3	352.4	3968.7	3552.6	947.6	3002.9	292.4
"Number of Returns"	RA	2091.5	370.8	2790.5	1234.5	17062.1	2420.6	1747.5	434.2	329.7	9695.7	4671.7	661.9	671.4	6122.0	3018.3	1421.1	1325.1	1876.8	2022.8	633.4	2837.9	3258.1	4676.7	2601.6	1286.8	2729.1	480.9	868.5	1297.9	678.3	4325.8	914.4	9387.8	4295.3	343.8	5508.8	1617.4	1758.1	6183.2	513.1	2090.8	411.4	2902.9	11417.3	1159.6	320.7	3802.0	3217.0	791.6	2772.8	294.7
"Taxable Interest Income"	AA	1239.9	209.2	1916.4	767.6	16078.9	2156.4	2467.7	277.6	283.6	13789.8	3226.7	385.8	498.0	5225.3	1543.8	1126.3	996.8	987.4	1061.0	364.6	2036.5	3304.3	3113.0	1992.7	574.1	1843.1	391.4	638.4	1317.6	950.0	4348.1	528.4	12560.1	2385.5	270.7	2768.0	1044.2	1326.8	4417.2	348.2	1081.2	419.5	1833.1	8558.1	749.6	228.1	2749.5	2722.8	399.2	1839.6	369.3
"Dividends"	AA	1378.4	387.3	2961.3	2515.0	24394.9	3822.6	4292.3	535.0	684.3	18352.3	4179.4	649.5	559.6	8728.4	2199.6	1222.6	1834.5	1415.7	1627.7	704.4	3409.0	6290.9	4880.7	2932.0	758.8	3048.3	515.4	918.6	1779.6	1024.8	6543.6	765.0	17270.0	4279.1	260.6	5330.4	1272.4	1990.3	7726.9	563.3	1927.9	449.3	2205.3	15258.7	832.0	521.9	4796.5	4783.5	470.2	2828.7	873.9
"Business Income/Loss"	AA	2923.8	923.9	4356.0	1779.5	47279.7	4851.9	5780.4	580.2	1088.1	14680.4	5691.6	1381.4	966.6	10652.4	4002.5	2094.8	2249.0	2742.0	3492.2	1180.7	5650.9	9059.1	7181.5	4289.0	1941.9	4194.1	774.0	1191.7	1766.3	1877.7	11233.8	1293.2	24204.4	6226.8	619.4	8824.7	2899.7	3254.0	11841.2	1059.6	2765.8	661.4	6951.4	26712.7	1343.9	729.2	7225.1	6296.5	1251.6	3694.5	499.9
"Capital Gain/Loss in AGI"	AA	2349.1	475.3	4706.8	1711.6	53883.5	9125.1	8976.8	607.2	1731.7	32094.5	6342.8	1047.7	1118.5	16277.6	3664.1	2233.9	2811.1	2274.9	2794.3	916.6	5582.1	14599.4	4441.2	5291.6	1001.4	4434.6	1071.5	1723.2	4424.6	1857.1	10147.5	1220.4	46542.1	6156.7	1145.8	7104.0	3481.2	3529.9	11516.4	1245.0	2390.4	1342.8	4347.1	35169.7	2345.3	822.7	9003.6	9153.2	1246.3	4820.2	1610.3
"Schedule E Income/Loss"	AA	4766.8	1211.8	5718.9	2348.6	57794.3	8260.2	9952.2	929.7	1951.8	29296.0	10826.8	1038.6	2004.4	17899.2	7539.3	3910.0	4196.3	3590.1	5429.8	1147.5	9677.2	14813.5	8833.8	8831.4	2394.6	6766.1	1587.2	3010.2	2777.9	943.0	16491.2	1442.6	39144.4	8927.5	1847.6	11991.4	5011.8	4134.4	14565.9	1366.4	3752.2	1770.8	4174.0	33986.9	3780.6	631.3	11480.8	8665.0	1322.8	7380.3	1279.9
"Taxable IRA Distributions"	AA	2415.9	416.5	4850.4	1372.8	24108.6	4029.9	3650.8	772.2	393.2	18105.8	5350.9	915.1	927.5	10249.6	4089.9	1839.9	1960.7	2156.9	2077.1	922.9	4028.8	5794.4	7627.7	4237.0	1066.2	4020.8	633.1	1116.5	1893.8	1226.7	7143.4	1110.9	13332.0	6137.9	358.9	7854.6	1984.8	3026.0	9760.4	683.8	3192.3	506.4	3515.6	14781.1	1323.1	469.0	5491.9	5613.8	794.2	4628.0	417.1
"Taxable Pension Income"	AA	8607.1	1659.1	12040.0	4168.4	64095.0	10261.1	7603.6	2247.4	1518.3	38324.1	15888.1	3327.0	2540.6	25440.8	10102.1	4753.5	4467.8	7614.0	6558.0	2396.2	14779.1	12351.2	22134.8	9395.1	4374.5	10721.5	1849.5	2538.1	5709.8	2572.4	17626.1	4330.5	38183.1	16346.6	848.3	23725.7	5842.5	7710.4	23906.6	2071.9	8926.3	1355.3	9956.9	34593.8	4078.5	1036.3	20431.8	13377.8	3219.5	10242.4	1036.8
"Taxable Social Security Income"	AA	2827.9	370.7	4287.0	1690.0	20873.5	2952.1	3077.6	818.3	283.7	15203.5	5004.4	1082.0	888.4	8068.0	4081.8	2287.3	2001.8	2265.9	2094.8	827.3	4149.9	4607.6	7455.5	3867.3	1506.4	3762.6	675.9	1227.2	1680.5	1068.6	7678.2	1211.3	14758.7	6018.5	493.4	6656.7	2231.3	2799.5	9539.1	756.5	3195.7	614.0	3739.4	12064.6	1343.1	472.6	5594.9	5090.8	1095.5	4099.3	428.8
"Unemployment Compensation"	AA	714.9	312.9	1207.5	561.7	14810.9	1501.2	1669.0	254.2	144.5	5378.5	2025.9	407.8	432.2	4572.2	1753.1	711.1	608.9	1138.8	515.5	323.2	1279.7	2952.2	3306.4	1560.5	414.4	1251.1	226.4	242.5	1257.0	317.9	5449.5	512.9	6058.2	2846.1	93.0	2777.3	513.3	1610.8	5714.2	563.8	1022.0	122.4	1315.2	4878.8	445.3	152.7	1090.6	2741.1	384.5	1838.2	209.1
"Self-Employed Retirement Plans (Keogh)"	AA	134.3	54.7	242.5	57.4	3492.1	320.8	564.0	44.5	178.4	579.4	409.9	94.2	54.4	940.2	237.1	167.8	154.0	145.4	197.4	64.2	610.7	737.6	394.6	318.6	91.5	256.8	44.9	89.0	81.9	108.2	968.8	63.1	2211.7	390.8	56.2	535.5	100.7	227.3	763.3	68.1	143.0	42.5	333.3	1259.2	66.2	42.6	690.0	403.4	75.2	230.7	24.5
"Self-Employed Health Insurance Deduction"	AA	253.6	58.5	392.5	149.1	3525.5	613.7	488.4	61.3	56.4	1327.3	563.8	103.9	140.3	1071.6	455.1	361.1	304.8	263.6	264.2	124.9	457.1	842.2	597.0	632.5	154.3	477.8	121.7	231.0	142.2	148.9	948.0	106.8	1715.5	716.8	109.6	673.0	249.9	402.0	1148.1	111.8	258.4	139.6	424.6	1458.1	182.7	78.3	641.1	663.6	76.4	447.4	69.5		
"Payments to IRAs"	AA	118.7	26.2	178.2	83.9	1489.8	213.4	167.6	28.7	16.3	654.3	263.0	56.5	61.5	487.0	190.7	147.5	113.5	111.0	131.4	73.4	213.3	283.6	310.0	230.4	73.0	184.1	55.7	98.4	74.7	68.0	407.0	62.1	869.4	288.5	42.7	348.2	109.7	169.4	518.4	44.1	122.8	45.8	167.0	713.9	79.9	44.7	286.1	262.7	52.4	222.8	26.2		
"Student Loan Interest Deduction"	AA	106.7	28.3	169.2	67.3	845.1	211.9	131.7	26.7	39.4	507.1	269.3	35.4	46.9	453.5	227.3	149.3	107.0	115.6	105.7	56.6	187.5	302.5	311.6	267.8	55.9	207.9	39.6	78.2	59.8	68.2	298.0	47.7	692.2	245.9	39.4	425.6	98.5	142.6	583.8	39.5	126.9	42.0	166.8	674.5	70.7	37.7	267.7	222.4	46.0	213.4	18.6		
"Domestic Production Activity Deduction"	AA	109.4	29.6	112.1	69.2	1047.7	200.9	108.6	12.0	9.6	529.9	175.0	13.1	65.5	432.0	206.6	168.0	111.3	81.6	102.9	20.8	126.1	237.8	312.8	327.7	43.7	137.3	46.5	100.2	61.1	20.9	182.3	39.3	641.5	229.4	90.6	303.5	133.4	110.3	385.4	27.5	67.9	80.7	69.6	701.7	78.5	22.8	149.2	264.4	20.8	317.3	37.0		
"Earned Income Tax Credit (EITC)"	AA	1413.8	98.1	1381.2	759.9	7251.2	757.4	432.2	159.3	128.4	4841.1	2833.0	235.6	302.5	2418.3	1242.2	437.2	478.9	924.6	1415.3	199.9	902.6	782.5	1912.1	696.0	1106.8	1196.7	169.3	295.6	540.0	150.3	1274.4	502.8	3887.8	2200.6	87.0	2183.5	821.2	570.5	1929.7	175.8	1207.0	134.3	1587.8	6840.5	451.7	83.0	1334.1	923.3	335.5	812.3	74.7		 
"Under $25,000"	AB	9520.1	1109.3	11654.9	5537.5	65428.3	8581.9	5025.4	1525.9	1036.4	41103.4	21089.0	2373.9	2698.3	21800.0	11047.4	4902.5	4818.8	7639.0	9300.9	2315.5	8886.4	9723.8	16225.5	8448.1	6728.3	10547.9	1894.5	3246.5	5254.3	2159.1	13167.5	3913.0	1999.3	17860.6	1259.1	20039.4	6682.7	6293.6	19948.8	1796.4	9298.1	1545.5	12555.1	48716.1	4606.3	1095.4	13306.5	10637.6	3056.5	9477.6	972.8	 	
"$25,000 < $50,000"	AB	14515.5	2460.6	20414.5	8834.7	113513.2	16892.8	10607.5	3007.0	2597.2	66481.0	32480.2	5024.5	4744.5	40061.6	20768.6	10027.1	9160.4	13031.7	14059.5	4453.2	19512.4	21253.9	26887.7	17541.9	9028.5	18780.6	3069.7	6434.4	10360.1	4475.7	26230.5	6343.3	63242.1	31497.0	2381.9	39439.5	11849.8	11670.4	41204.5	3478.0	14991.1	2908.7	20963.8	84139.6	8465.9	2277.8	25781.6	21859.4	5188.5	18728.2	1827.9		
"$50,000 < $75,000"	AB	12228.9	2479.0	16394.0	7393.2	103624.7	16032.4	11347.8	2809.0	2567.1	49046.6	25597.6	4286.9	4439.6	39799.7	20257.8	10139.5	8785.8	12071.9	12028.3	4299.9	19774.4	21607.2	27591.0	18048.0	6904.0	17475.3	2918.4	6000.8	8310.6	4611.3	27117.1	5173.6	59441.3	25225.8	2328.7	36567.9	10450.8	11228.5	40803.6	3296.9	11643.2	2644.6	17683.2	69106.1	8795.6	2109.6	25190.1	22023.9	5396.0	19330.3	2129.8		
"$75,000 < $100,000"	AB	10491.5	2336.0	13921.5	5816.0	89396.9	14378.4	10846.3	2492.5	2030.8	38081.8	21099.5	3731.0	3528.1	35541.9	17800.8	9130.4	7806.3	10204.5	10338.8	3535.6	18514.4	19751.2	25179.3	17147.9	5470.7	14780.6	2439.7	5392.9	6344.4	4459.5	25666.7	4273.5	51525.6	21231.8	2347.4	30632.9	8562.2	9533.4	36339.8	2952.2	9645.8	2246.0	13983.7	59013.3	7480.6	1845.1	23864.3	20703.8	4730.4	17906.1	2102.4		
"$100,000 < $200,000"	AB	17543.0	4988.8	24904.9	8642.7	200754.7	29459.2	26308.3	5084.9	4368.6	65424.7	40416.5	6433.5	4734.4	71300.3	27023.6	13174.1	13126.7	14738.1	18133.2	5002.1	46122.1	48833.3	45175.4	32094.4	8002.6	23767.2	3235.3	8003.0	10462.8	9405.6	68567.3	6980.6	107460.6	37643.1	3371.3	46817.8	13129.4	16072.7	65589.1	5948.0	15869.3	2680.5	22124.5	117980.9	11243.3	2812.6	56100.2	42500.7	6418.4	27607.3	3207.0		
