Total benefits (billions)
programs  2014  2015  2016  2017    2018    2019    2020    2021    2022    2023    2024
      ss 849.2 901.7 935.5 976.7 1,049.1 1,124.0 1,203.6 1,283.0 1,372.0 1,468.1 1,570.3
     ssi  54.1  54.8  54.9  55.3    57.0    58.9    60.9    62.8    64.8    66.9    69.1
medicaid 368.6 412.8 384.1 380.7   392.3   391.6   391.7   391.2   391.1   390.9   391.0
medicare 576.1 602.5 629.9 667.9   718.3   777.9   841.7   907.1   978.5 1,056.2 1,135.8
      vb 146.8 152.3 158.2 159.0   159.8   160.7   161.7   162.7   163.8   164.9   166.2
    snap  83.0  82.6  79.0  79.0    79.0    79.0    79.0    79.0    79.0    79.0    79.0

Total participating tax units (millions)
programs  2014  2015  2016  2017  2018  2019  2020  2021  2022  2023  2024
      ss  44.6  45.2  45.8  46.5  47.1  47.8  48.5  49.1  49.9  50.6  51.3
     ssi   6.8   6.8   6.8   6.9   6.9   7.0   6.9   7.0   7.0   7.1   7.1
medicaid  27.9  29.7  30.8  31.2  31.7  32.5  32.9  33.4  33.8  34.3  34.8
medicare  38.6  39.6  41.0  42.1  43.3  44.6  46.1  47.6  49.1  50.5  51.9
      vb   4.9   4.9   4.6   4.6   4.6   4.6   4.6   4.6   4.6   4.6   4.6
    snap  28.5  28.0  26.8  26.7  26.6  26.4  26.3  26.2  26.1  26.0  25.8

Total participants (millions)
programs  2014  2015  2016  2017  2018  2019  2020  2021  2022  2023  2024
      ss  56.5  57.8  59.4  60.9  62.5  64.0  65.5  66.4  69.0  70.9  72.9
     ssi   7.6   7.6   7.5   7.5   7.5   7.6   7.6   7.7   7.7   7.8   7.8
medicaid  52.4  56.4  58.1  58.9  59.7  61.2  62.0  62.9  63.7  64.6  65.4
medicare  49.6  50.7  52.4  53.8  55.4  57.0  58.7  60.4  62.2  63.8  65.5
      vb   5.0   5.0   4.6   4.7   4.7   4.7   4.7   4.7   4.7   4.7   4.7
    snap  43.0  42.2  40.8  40.8  40.8  40.8  40.8  40.8  40.8  40.8  40.8

